wavelength	V1	no
380	0.000634	1
390	0.000282	2
400	0.000285	3
410	0.00061	4
420	0.00108	5
430	0.0018	6
440	0.00248	7
450	0.00302	8
460	0.00353	9
470	0.00387	10
480	0.00399	11
490	0.00426	12
500	0.00342	13
510	0.00278	14
520	0.00222	15
530	0.0018	16
540	0.00313	17
550	0.00268	18
560	0.0016	19
570	0.00168	20
580	0.00255	21
590	0.00232	22
600	0.0024	23
610	0.0032	24
620	0.00281	25
630	0.00263	26
640	0.00218	27
650	0.00198	28
660	0.00171	29
670	0.00122	30
680	0.00092	31
690	0.000724	32
700	0.000505	33
710	0.000465	34
720	0.000303	35
730	0.000238	36
740	0.000197	37
750	0.000173	38
760	0.000501	39
770	0.000168	40
780	9.11e-05	41
380	0.000634	42
390	0.000282	43
400	0.000285	44
410	0.00061	45
420	0.00108	46
430	0.0018	47
440	0.00248	48
450	0.00302	49
460	0.00353	50
470	0.00387	51
480	0.00399	52
490	0.00426	53
500	0.00342	54
510	0.00278	55
520	0.00222	56
530	0.0018	57
540	0.00313	58
550	0.00268	59
560	0.0016	60
570	0.00168	61
580	0.00255	62
590	0.00232	63
600	0.0024	64
610	0.0032	65
620	0.00281	66
630	0.00263	67
640	0.00218	68
650	0.00198	69
660	0.00171	70
670	0.00122	71
680	0.00092	72
690	0.000724	73
700	0.000505	74
710	0.000465	75
720	0.000303	76
730	0.000238	77
740	0.000197	78
750	0.000173	79
760	0.000501	80
770	0.000168	81
780	9.11e-05	82
380	0.000634	83
390	0.000282	84
400	0.000285	85
410	0.00061	86
420	0.00108	87
430	0.0018	88
440	0.00248	89
450	0.00302	90
460	0.00353	91
470	0.00387	92
480	0.00399	93
490	0.00426	94
500	0.00342	95
510	0.00278	96
520	0.00222	97
530	0.0018	98
540	0.00313	99
550	0.00268	100
560	0.0016	101
570	0.00168	102
580	0.00255	103
590	0.00232	104
600	0.0024	105
610	0.0032	106
620	0.00281	107
630	0.00263	108
640	0.00218	109
650	0.00198	110
660	0.00171	111
670	0.00122	112
680	0.00092	113
690	0.000724	114
700	0.000505	115
710	0.000465	116
720	0.000303	117
730	0.000238	118
740	0.000197	119
750	0.000173	120
760	0.000501	121
770	0.000168	122
780	9.11e-05	123
380	0.000634	124
390	0.000282	125
400	0.000285	126
410	0.00061	127
420	0.00108	128
430	0.0018	129
440	0.00248	130
450	0.00302	131
460	0.00353	132
470	0.00387	133
480	0.00399	134
490	0.00426	135
500	0.00342	136
510	0.00278	137
520	0.00222	138
530	0.0018	139
540	0.00313	140
550	0.00268	141
560	0.0016	142
570	0.00168	143
580	0.00255	144
590	0.00232	145
600	0.0024	146
610	0.0032	147
620	0.00281	148
630	0.00263	149
640	0.00218	150
650	0.00198	151
660	0.00171	152
670	0.00122	153
680	0.00092	154
690	0.000724	155
700	0.000505	156
710	0.000465	157
720	0.000303	158
730	0.000238	159
740	0.000197	160
750	0.000173	161
760	0.000501	162
770	0.000168	163
780	9.11e-05	164
380	0.000634	165
390	0.000282	166
400	0.000285	167
410	0.00061	168
420	0.00108	169
430	0.0018	170
440	0.00248	171
450	0.00302	172
460	0.00353	173
470	0.00387	174
480	0.00399	175
490	0.00426	176
500	0.00342	177
510	0.00278	178
520	0.00222	179
530	0.0018	180
540	0.00313	181
550	0.00268	182
560	0.0016	183
570	0.00168	184
580	0.00255	185
590	0.00232	186
600	0.0024	187
610	0.0032	188
620	0.00281	189
630	0.00263	190
640	0.00218	191
650	0.00198	192
660	0.00171	193
670	0.00122	194
680	0.00092	195
690	0.000724	196
700	0.000505	197
710	0.000465	198
720	0.000303	199
730	0.000238	200
740	0.000197	201
750	0.000173	202
760	0.000501	203
770	0.000168	204
780	9.11e-05	205
380	0.000634	206
390	0.000282	207
400	0.000285	208
410	0.00061	209
420	0.00108	210
430	0.0018	211
440	0.00248	212
450	0.00302	213
460	0.00353	214
470	0.00387	215
480	0.00399	216
490	0.00426	217
500	0.00342	218
510	0.00278	219
520	0.00222	220
530	0.0018	221
540	0.00313	222
550	0.00268	223
560	0.0016	224
570	0.00168	225
580	0.00255	226
590	0.00232	227
600	0.0024	228
610	0.0032	229
620	0.00281	230
630	0.00263	231
640	0.00218	232
650	0.00198	233
660	0.00171	234
670	0.00122	235
680	0.00092	236
690	0.000724	237
700	0.000505	238
710	0.000465	239
720	0.000303	240
730	0.000238	241
740	0.000197	242
750	0.000173	243
760	0.000501	244
770	0.000168	245
780	9.11e-05	246
380	0.000634	247
390	0.000282	248
400	0.000285	249
410	0.00061	250
420	0.00108	251
430	0.0018	252
440	0.00248	253
450	0.00302	254
460	0.00353	255
470	0.00387	256
480	0.00399	257
490	0.00426	258
500	0.00342	259
510	0.00278	260
520	0.00222	261
530	0.0018	262
540	0.00313	263
550	0.00268	264
560	0.0016	265
570	0.00168	266
580	0.00255	267
590	0.00232	268
600	0.0024	269
610	0.0032	270
620	0.00281	271
630	0.00263	272
640	0.00218	273
650	0.00198	274
660	0.00171	275
670	0.00122	276
680	0.00092	277
690	0.000724	278
700	0.000505	279
710	0.000465	280
720	0.000303	281
730	0.000238	282
740	0.000197	283
750	0.000173	284
760	0.000501	285
770	0.000168	286
780	9.11e-05	287
380	0.000634	288
390	0.000282	289
400	0.000285	290
410	0.00061	291
420	0.00108	292
430	0.0018	293
440	0.00248	294
450	0.00302	295
460	0.00353	296
470	0.00387	297
480	0.00399	298
490	0.00426	299
500	0.00342	300
510	0.00278	301
520	0.00222	302
530	0.0018	303
540	0.00313	304
550	0.00268	305
560	0.0016	306
570	0.00168	307
580	0.00255	308
590	0.00232	309
600	0.0024	310
610	0.0032	311
620	0.00281	312
630	0.00263	313
640	0.00218	314
650	0.00198	315
660	0.00171	316
670	0.00122	317
680	0.00092	318
690	0.000724	319
700	0.000505	320
710	0.000465	321
720	0.000303	322
730	0.000238	323
740	0.000197	324
750	0.000173	325
760	0.000501	326
770	0.000168	327
780	9.11e-05	328
380	0.000634	329
390	0.000282	330
400	0.000285	331
410	0.00061	332
420	0.00108	333
430	0.0018	334
440	0.00248	335
450	0.00302	336
460	0.00353	337
470	0.00387	338
480	0.00399	339
490	0.00426	340
500	0.00342	341
510	0.00278	342
520	0.00222	343
530	0.0018	344
540	0.00313	345
550	0.00268	346
560	0.0016	347
570	0.00168	348
580	0.00255	349
590	0.00232	350
600	0.0024	351
610	0.0032	352
620	0.00281	353
630	0.00263	354
640	0.00218	355
650	0.00198	356
660	0.00171	357
670	0.00122	358
680	0.00092	359
690	0.000724	360
700	0.000505	361
710	0.000465	362
720	0.000303	363
730	0.000238	364
740	0.000197	365
750	0.000173	366
760	0.000501	367
770	0.000168	368
780	9.11e-05	369
380	0.000634	370
390	0.000282	371
400	0.000285	372
410	0.00061	373
420	0.00108	374
430	0.0018	375
440	0.00248	376
450	0.00302	377
460	0.00353	378
470	0.00387	379
480	0.00399	380
490	0.00426	381
500	0.00342	382
510	0.00278	383
520	0.00222	384
530	0.0018	385
540	0.00313	386
550	0.00268	387
560	0.0016	388
570	0.00168	389
580	0.00255	390
590	0.00232	391
600	0.0024	392
610	0.0032	393
620	0.00281	394
630	0.00263	395
640	0.00218	396
650	0.00198	397
660	0.00171	398
670	0.00122	399
680	0.00092	400
690	0.000724	401
700	0.000505	402
710	0.000465	403
720	0.000303	404
730	0.000238	405
740	0.000197	406
750	0.000173	407
760	0.000501	408
770	0.000168	409
780	9.11e-05	410
380	0.000634	411
390	0.000282	412
400	0.000285	413
410	0.00061	414
420	0.00108	415
430	0.0018	416
440	0.00248	417
450	0.00302	418
460	0.00353	419
470	0.00387	420
480	0.00399	421
490	0.00426	422
500	0.00342	423
510	0.00278	424
520	0.00222	425
530	0.0018	426
540	0.00313	427
550	0.00268	428
560	0.0016	429
570	0.00168	430
580	0.00255	431
590	0.00232	432
600	0.0024	433
610	0.0032	434
620	0.00281	435
630	0.00263	436
640	0.00218	437
650	0.00198	438
660	0.00171	439
670	0.00122	440
680	0.00092	441
690	0.000724	442
700	0.000505	443
710	0.000465	444
720	0.000303	445
730	0.000238	446
740	0.000197	447
750	0.000173	448
760	0.000501	449
770	0.000168	450
780	9.11e-05	451
380	0.000634	452
390	0.000282	453
400	0.000285	454
410	0.00061	455
420	0.00108	456
430	0.0018	457
440	0.00248	458
450	0.00302	459
460	0.00353	460
470	0.00387	461
480	0.00399	462
490	0.00426	463
500	0.00342	464
510	0.00278	465
520	0.00222	466
530	0.0018	467
540	0.00313	468
550	0.00268	469
560	0.0016	470
570	0.00168	471
580	0.00255	472
590	0.00232	473
600	0.0024	474
610	0.0032	475
620	0.00281	476
630	0.00263	477
640	0.00218	478
650	0.00198	479
660	0.00171	480
670	0.00122	481
680	0.00092	482
690	0.000724	483
700	0.000505	484
710	0.000465	485
720	0.000303	486
730	0.000238	487
740	0.000197	488
750	0.000173	489
760	0.000501	490
770	0.000168	491
780	9.11e-05	492
380	0.000634	493
390	0.000282	494
400	0.000285	495
410	0.00061	496
420	0.00108	497
430	0.0018	498
440	0.00248	499
450	0.00302	500
460	0.00353	501
470	0.00387	502
480	0.00399	503
490	0.00426	504
500	0.00342	505
510	0.00278	506
520	0.00222	507
530	0.0018	508
540	0.00313	509
550	0.00268	510
560	0.0016	511
570	0.00168	512
580	0.00255	513
590	0.00232	514
600	0.0024	515
610	0.0032	516
620	0.00281	517
630	0.00263	518
640	0.00218	519
650	0.00198	520
660	0.00171	521
670	0.00122	522
680	0.00092	523
690	0.000724	524
700	0.000505	525
710	0.000465	526
720	0.000303	527
730	0.000238	528
740	0.000197	529
750	0.000173	530
760	0.000501	531
770	0.000168	532
780	9.11e-05	533
380	0.000634	534
390	0.000282	535
400	0.000285	536
410	0.00061	537
420	0.00108	538
430	0.0018	539
440	0.00248	540
450	0.00302	541
460	0.00353	542
470	0.00387	543
480	0.00399	544
490	0.00426	545
500	0.00342	546
510	0.00278	547
520	0.00222	548
530	0.0018	549
540	0.00313	550
550	0.00268	551
560	0.0016	552
570	0.00168	553
580	0.00255	554
590	0.00232	555
600	0.0024	556
610	0.0032	557
620	0.00281	558
630	0.00263	559
640	0.00218	560
650	0.00198	561
660	0.00171	562
670	0.00122	563
680	0.00092	564
690	0.000724	565
700	0.000505	566
710	0.000465	567
720	0.000303	568
730	0.000238	569
740	0.000197	570
750	0.000173	571
760	0.000501	572
770	0.000168	573
780	9.11e-05	574
380	0.000634	575
390	0.000282	576
400	0.000285	577
410	0.00061	578
420	0.00108	579
430	0.0018	580
440	0.00248	581
450	0.00302	582
460	0.00353	583
470	0.00387	584
480	0.00399	585
490	0.00426	586
500	0.00342	587
510	0.00278	588
520	0.00222	589
530	0.0018	590
540	0.00313	591
550	0.00268	592
560	0.0016	593
570	0.00168	594
580	0.00255	595
590	0.00232	596
600	0.0024	597
610	0.0032	598
620	0.00281	599
630	0.00263	600
640	0.00218	601
650	0.00198	602
660	0.00171	603
670	0.00122	604
680	0.00092	605
690	0.000724	606
700	0.000505	607
710	0.000465	608
720	0.000303	609
730	0.000238	610
740	0.000197	611
750	0.000173	612
760	0.000501	613
770	0.000168	614
780	9.11e-05	615
380	0.000634	616
390	0.000282	617
400	0.000285	618
410	0.00061	619
420	0.00108	620
430	0.0018	621
440	0.00248	622
450	0.00302	623
460	0.00353	624
470	0.00387	625
480	0.00399	626
490	0.00426	627
500	0.00342	628
510	0.00278	629
520	0.00222	630
530	0.0018	631
540	0.00313	632
550	0.00268	633
560	0.0016	634
570	0.00168	635
580	0.00255	636
590	0.00232	637
600	0.0024	638
610	0.0032	639
620	0.00281	640
630	0.00263	641
640	0.00218	642
650	0.00198	643
660	0.00171	644
670	0.00122	645
680	0.00092	646
690	0.000724	647
700	0.000505	648
710	0.000465	649
720	0.000303	650
730	0.000238	651
740	0.000197	652
750	0.000173	653
760	0.000501	654
770	0.000168	655
780	9.11e-05	656
380	0.000634	657
390	0.000282	658
400	0.000285	659
410	0.00061	660
420	0.00108	661
430	0.0018	662
440	0.00248	663
450	0.00302	664
460	0.00353	665
470	0.00387	666
480	0.00399	667
490	0.00426	668
500	0.00342	669
510	0.00278	670
520	0.00222	671
530	0.0018	672
540	0.00313	673
550	0.00268	674
560	0.0016	675
570	0.00168	676
580	0.00255	677
590	0.00232	678
600	0.0024	679
610	0.0032	680
620	0.00281	681
630	0.00263	682
640	0.00218	683
650	0.00198	684
660	0.00171	685
670	0.00122	686
680	0.00092	687
690	0.000724	688
700	0.000505	689
710	0.000465	690
720	0.000303	691
730	0.000238	692
740	0.000197	693
750	0.000173	694
760	0.000501	695
770	0.000168	696
780	9.11e-05	697
380	0.000634	698
390	0.000282	699
400	0.000285	700
410	0.00061	701
420	0.00108	702
430	0.0018	703
440	0.00248	704
450	0.00302	705
460	0.00353	706
470	0.00387	707
480	0.00399	708
490	0.00426	709
500	0.00342	710
510	0.00278	711
520	0.00222	712
530	0.0018	713
540	0.00313	714
550	0.00268	715
560	0.0016	716
570	0.00168	717
580	0.00255	718
590	0.00232	719
600	0.0024	720
610	0.0032	721
620	0.00281	722
630	0.00263	723
640	0.00218	724
650	0.00198	725
660	0.00171	726
670	0.00122	727
680	0.00092	728
690	0.000724	729
700	0.000505	730
710	0.000465	731
720	0.000303	732
730	0.000238	733
740	0.000197	734
750	0.000173	735
760	0.000501	736
770	0.000168	737
780	9.11e-05	738
380	0.000634	739
390	0.000282	740
400	0.000285	741
410	0.00061	742
420	0.00108	743
430	0.0018	744
440	0.00248	745
450	0.00302	746
460	0.00353	747
470	0.00387	748
480	0.00399	749
490	0.00426	750
500	0.00342	751
510	0.00278	752
520	0.00222	753
530	0.0018	754
540	0.00313	755
550	0.00268	756
560	0.0016	757
570	0.00168	758
580	0.00255	759
590	0.00232	760
600	0.0024	761
610	0.0032	762
620	0.00281	763
630	0.00263	764
640	0.00218	765
650	0.00198	766
660	0.00171	767
670	0.00122	768
680	0.00092	769
690	0.000724	770
700	0.000505	771
710	0.000465	772
720	0.000303	773
730	0.000238	774
740	0.000197	775
750	0.000173	776
760	0.000501	777
770	0.000168	778
780	9.11e-05	779
380	0.000634	780
390	0.000282	781
400	0.000285	782
410	0.00061	783
420	0.00108	784
430	0.0018	785
440	0.00248	786
450	0.00302	787
460	0.00353	788
470	0.00387	789
480	0.00399	790
490	0.00426	791
500	0.00342	792
510	0.00278	793
520	0.00222	794
530	0.0018	795
540	0.00313	796
550	0.00268	797
560	0.0016	798
570	0.00168	799
580	0.00255	800
590	0.00232	801
600	0.0024	802
610	0.0032	803
620	0.00281	804
630	0.00263	805
640	0.00218	806
650	0.00198	807
660	0.00171	808
670	0.00122	809
680	0.00092	810
690	0.000724	811
700	0.000505	812
710	0.000465	813
720	0.000303	814
730	0.000238	815
740	0.000197	816
750	0.000173	817
760	0.000501	818
770	0.000168	819
780	9.11e-05	820
380	0.000634	821
390	0.000282	822
400	0.000285	823
410	0.00061	824
420	0.00108	825
430	0.0018	826
440	0.00248	827
450	0.00302	828
460	0.00353	829
470	0.00387	830
480	0.00399	831
490	0.00426	832
500	0.00342	833
510	0.00278	834
520	0.00222	835
530	0.0018	836
540	0.00313	837
550	0.00268	838
560	0.0016	839
570	0.00168	840
580	0.00255	841
590	0.00232	842
600	0.0024	843
610	0.0032	844
620	0.00281	845
630	0.00263	846
640	0.00218	847
650	0.00198	848
660	0.00171	849
670	0.00122	850
680	0.00092	851
690	0.000724	852
700	0.000505	853
710	0.000465	854
720	0.000303	855
730	0.000238	856
740	0.000197	857
750	0.000173	858
760	0.000501	859
770	0.000168	860
780	9.11e-05	861
380	0.000634	862
390	0.000282	863
400	0.000285	864
410	0.00061	865
420	0.00108	866
430	0.0018	867
440	0.00248	868
450	0.00302	869
460	0.00353	870
470	0.00387	871
480	0.00399	872
490	0.00426	873
500	0.00342	874
510	0.00278	875
520	0.00222	876
530	0.0018	877
540	0.00313	878
550	0.00268	879
560	0.0016	880
570	0.00168	881
580	0.00255	882
590	0.00232	883
600	0.0024	884
610	0.0032	885
620	0.00281	886
630	0.00263	887
640	0.00218	888
650	0.00198	889
660	0.00171	890
670	0.00122	891
680	0.00092	892
690	0.000724	893
700	0.000505	894
710	0.000465	895
720	0.000303	896
730	0.000238	897
740	0.000197	898
750	0.000173	899
760	0.000501	900
770	0.000168	901
780	9.11e-05	902
380	0.000634	903
390	0.000282	904
400	0.000285	905
410	0.00061	906
420	0.00108	907
430	0.0018	908
440	0.00248	909
450	0.00302	910
460	0.00353	911
470	0.00387	912
480	0.00399	913
490	0.00426	914
500	0.00342	915
510	0.00278	916
520	0.00222	917
530	0.0018	918
540	0.00313	919
550	0.00268	920
560	0.0016	921
570	0.00168	922
580	0.00255	923
590	0.00232	924
600	0.0024	925
610	0.0032	926
620	0.00281	927
630	0.00263	928
640	0.00218	929
650	0.00198	930
660	0.00171	931
670	0.00122	932
680	0.00092	933
690	0.000724	934
700	0.000505	935
710	0.000465	936
720	0.000303	937
730	0.000238	938
740	0.000197	939
750	0.000173	940
760	0.000501	941
770	0.000168	942
780	9.11e-05	943
380	0.000634	944
390	0.000282	945
400	0.000285	946
410	0.00061	947
420	0.00108	948
430	0.0018	949
440	0.00248	950
450	0.00302	951
460	0.00353	952
470	0.00387	953
480	0.00399	954
490	0.00426	955
500	0.00342	956
510	0.00278	957
520	0.00222	958
530	0.0018	959
540	0.00313	960
550	0.00268	961
560	0.0016	962
570	0.00168	963
580	0.00255	964
590	0.00232	965
600	0.0024	966
610	0.0032	967
620	0.00281	968
630	0.00263	969
640	0.00218	970
650	0.00198	971
660	0.00171	972
670	0.00122	973
680	0.00092	974
690	0.000724	975
700	0.000505	976
710	0.000465	977
720	0.000303	978
730	0.000238	979
740	0.000197	980
750	0.000173	981
760	0.000501	982
770	0.000168	983
780	9.11e-05	984
380	0.000634	985
390	0.000282	986
400	0.000285	987
410	0.00061	988
420	0.00108	989
430	0.0018	990
440	0.00248	991
450	0.00302	992
460	0.00353	993
470	0.00387	994
480	0.00399	995
490	0.00426	996
500	0.00342	997
510	0.00278	998
520	0.00222	999
530	0.0018	1000
540	0.00313	1001
550	0.00268	1002
560	0.0016	1003
570	0.00168	1004
580	0.00255	1005
590	0.00232	1006
600	0.0024	1007
610	0.0032	1008
620	0.00281	1009
630	0.00263	1010
640	0.00218	1011
650	0.00198	1012
660	0.00171	1013
670	0.00122	1014
680	0.00092	1015
690	0.000724	1016
700	0.000505	1017
710	0.000465	1018
720	0.000303	1019
730	0.000238	1020
740	0.000197	1021
750	0.000173	1022
760	0.000501	1023
770	0.000168	1024
780	9.11e-05	1025
380	0.000634	1026
390	0.000282	1027
400	0.000285	1028
410	0.00061	1029
420	0.00108	1030
430	0.0018	1031
440	0.00248	1032
450	0.00302	1033
460	0.00353	1034
470	0.00387	1035
480	0.00399	1036
490	0.00426	1037
500	0.00342	1038
510	0.00278	1039
520	0.00222	1040
530	0.0018	1041
540	0.00313	1042
550	0.00268	1043
560	0.0016	1044
570	0.00168	1045
580	0.00255	1046
590	0.00232	1047
600	0.0024	1048
610	0.0032	1049
620	0.00281	1050
630	0.00263	1051
640	0.00218	1052
650	0.00198	1053
660	0.00171	1054
670	0.00122	1055
680	0.00092	1056
690	0.000724	1057
700	0.000505	1058
710	0.000465	1059
720	0.000303	1060
730	0.000238	1061
740	0.000197	1062
750	0.000173	1063
760	0.000501	1064
770	0.000168	1065
780	9.11e-05	1066
380	0.000634	1067
390	0.000282	1068
400	0.000285	1069
410	0.00061	1070
420	0.00108	1071
430	0.0018	1072
440	0.00248	1073
450	0.00302	1074
460	0.00353	1075
470	0.00387	1076
480	0.00399	1077
490	0.00426	1078
500	0.00342	1079
510	0.00278	1080
520	0.00222	1081
530	0.0018	1082
540	0.00313	1083
550	0.00268	1084
560	0.0016	1085
570	0.00168	1086
580	0.00255	1087
590	0.00232	1088
600	0.0024	1089
610	0.0032	1090
620	0.00281	1091
630	0.00263	1092
640	0.00218	1093
650	0.00198	1094
660	0.00171	1095
670	0.00122	1096
680	0.00092	1097
690	0.000724	1098
700	0.000505	1099
710	0.000465	1100
720	0.000303	1101
730	0.000238	1102
740	0.000197	1103
750	0.000173	1104
760	0.000501	1105
770	0.000168	1106
780	9.11e-05	1107
380	0.000634	1108
390	0.000282	1109
400	0.000285	1110
410	0.00061	1111
420	0.00108	1112
430	0.0018	1113
440	0.00248	1114
450	0.00302	1115
460	0.00353	1116
470	0.00387	1117
480	0.00399	1118
490	0.00426	1119
500	0.00342	1120
510	0.00278	1121
520	0.00222	1122
530	0.0018	1123
540	0.00313	1124
550	0.00268	1125
560	0.0016	1126
570	0.00168	1127
580	0.00255	1128
590	0.00232	1129
600	0.0024	1130
610	0.0032	1131
620	0.00281	1132
630	0.00263	1133
640	0.00218	1134
650	0.00198	1135
660	0.00171	1136
670	0.00122	1137
680	0.00092	1138
690	0.000724	1139
700	0.000505	1140
710	0.000465	1141
720	0.000303	1142
730	0.000238	1143
740	0.000197	1144
750	0.000173	1145
760	0.000501	1146
770	0.000168	1147
780	9.11e-05	1148
380	0.000634	1149
390	0.000282	1150
400	0.000285	1151
410	0.00061	1152
420	0.00108	1153
430	0.0018	1154
440	0.00248	1155
450	0.00302	1156
460	0.00353	1157
470	0.00387	1158
480	0.00399	1159
490	0.00426	1160
500	0.00342	1161
510	0.00278	1162
520	0.00222	1163
530	0.0018	1164
540	0.00313	1165
550	0.00268	1166
560	0.0016	1167
570	0.00168	1168
580	0.00255	1169
590	0.00232	1170
600	0.0024	1171
610	0.0032	1172
620	0.00281	1173
630	0.00263	1174
640	0.00218	1175
650	0.00198	1176
660	0.00171	1177
670	0.00122	1178
680	0.00092	1179
690	0.000724	1180
700	0.000505	1181
710	0.000465	1182
720	0.000303	1183
730	0.000238	1184
740	0.000197	1185
750	0.000173	1186
760	0.000501	1187
770	0.000168	1188
780	9.11e-05	1189
380	0.000634	1190
390	0.000282	1191
400	0.000285	1192
410	0.00061	1193
420	0.00108	1194
430	0.0018	1195
440	0.00248	1196
450	0.00302	1197
460	0.00353	1198
470	0.00387	1199
480	0.00399	1200
490	0.00426	1201
500	0.00342	1202
510	0.00278	1203
520	0.00222	1204
530	0.0018	1205
540	0.00313	1206
550	0.00268	1207
560	0.0016	1208
570	0.00168	1209
580	0.00255	1210
590	0.00232	1211
600	0.0024	1212
610	0.0032	1213
620	0.00281	1214
630	0.00263	1215
640	0.00218	1216
650	0.00198	1217
660	0.00171	1218
670	0.00122	1219
680	0.00092	1220
690	0.000724	1221
700	0.000505	1222
710	0.000465	1223
720	0.000303	1224
730	0.000238	1225
740	0.000197	1226
750	0.000173	1227
760	0.000501	1228
770	0.000168	1229
780	9.11e-05	1230
380	0.000634	1231
390	0.000282	1232
400	0.000285	1233
410	0.00061	1234
420	0.00108	1235
430	0.0018	1236
440	0.00248	1237
450	0.00302	1238
460	0.00353	1239
470	0.00387	1240
480	0.00399	1241
490	0.00426	1242
500	0.00342	1243
510	0.00278	1244
520	0.00222	1245
530	0.0018	1246
540	0.00313	1247
550	0.00268	1248
560	0.0016	1249
570	0.00168	1250
580	0.00255	1251
590	0.00232	1252
600	0.0024	1253
610	0.0032	1254
620	0.00281	1255
630	0.00263	1256
640	0.00218	1257
650	0.00198	1258
660	0.00171	1259
670	0.00122	1260
680	0.00092	1261
690	0.000724	1262
700	0.000505	1263
710	0.000465	1264
720	0.000303	1265
730	0.000238	1266
740	0.000197	1267
750	0.000173	1268
760	0.000501	1269
770	0.000168	1270
780	9.11e-05	1271
380	0.000634	1272
390	0.000282	1273
400	0.000285	1274
410	0.00061	1275
420	0.00108	1276
430	0.0018	1277
440	0.00248	1278
450	0.00302	1279
460	0.00353	1280
470	0.00387	1281
480	0.00399	1282
490	0.00426	1283
500	0.00342	1284
510	0.00278	1285
520	0.00222	1286
530	0.0018	1287
540	0.00313	1288
550	0.00268	1289
560	0.0016	1290
570	0.00168	1291
580	0.00255	1292
590	0.00232	1293
600	0.0024	1294
610	0.0032	1295
620	0.00281	1296
630	0.00263	1297
640	0.00218	1298
650	0.00198	1299
660	0.00171	1300
670	0.00122	1301
680	0.00092	1302
690	0.000724	1303
700	0.000505	1304
710	0.000465	1305
720	0.000303	1306
730	0.000238	1307
740	0.000197	1308
750	0.000173	1309
760	0.000501	1310
770	0.000168	1311
780	9.11e-05	1312
380	0.000634	1313
390	0.000282	1314
400	0.000285	1315
410	0.00061	1316
420	0.00108	1317
430	0.0018	1318
440	0.00248	1319
450	0.00302	1320
460	0.00353	1321
470	0.00387	1322
480	0.00399	1323
490	0.00426	1324
500	0.00342	1325
510	0.00278	1326
520	0.00222	1327
530	0.0018	1328
540	0.00313	1329
550	0.00268	1330
560	0.0016	1331
570	0.00168	1332
580	0.00255	1333
590	0.00232	1334
600	0.0024	1335
610	0.0032	1336
620	0.00281	1337
630	0.00263	1338
640	0.00218	1339
650	0.00198	1340
660	0.00171	1341
670	0.00122	1342
680	0.00092	1343
690	0.000724	1344
700	0.000505	1345
710	0.000465	1346
720	0.000303	1347
730	0.000238	1348
740	0.000197	1349
750	0.000173	1350
760	0.000501	1351
770	0.000168	1352
780	9.11e-05	1353
380	0.000634	1354
390	0.000282	1355
400	0.000285	1356
410	0.00061	1357
420	0.00108	1358
430	0.0018	1359
440	0.00248	1360
450	0.00302	1361
460	0.00353	1362
470	0.00387	1363
480	0.00399	1364
490	0.00426	1365
500	0.00342	1366
510	0.00278	1367
520	0.00222	1368
530	0.0018	1369
540	0.00313	1370
550	0.00268	1371
560	0.0016	1372
570	0.00168	1373
580	0.00255	1374
590	0.00232	1375
600	0.0024	1376
610	0.0032	1377
620	0.00281	1378
630	0.00263	1379
640	0.00218	1380
650	0.00198	1381
660	0.00171	1382
670	0.00122	1383
680	0.00092	1384
690	0.000724	1385
700	0.000505	1386
710	0.000465	1387
720	0.000303	1388
730	0.000238	1389
740	0.000197	1390
750	0.000173	1391
760	0.000501	1392
770	0.000168	1393
780	9.11e-05	1394
380	0.000634	1395
390	0.000282	1396
400	0.000285	1397
410	0.00061	1398
420	0.00108	1399
430	0.0018	1400
440	0.00248	1401
450	0.00302	1402
460	0.00353	1403
470	0.00387	1404
480	0.00399	1405
490	0.00426	1406
500	0.00342	1407
510	0.00278	1408
520	0.00222	1409
530	0.0018	1410
540	0.00313	1411
550	0.00268	1412
560	0.0016	1413
570	0.00168	1414
580	0.00255	1415
590	0.00232	1416
600	0.0024	1417
610	0.0032	1418
620	0.00281	1419
630	0.00263	1420
640	0.00218	1421
650	0.00198	1422
660	0.00171	1423
670	0.00122	1424
680	0.00092	1425
690	0.000724	1426
700	0.000505	1427
710	0.000465	1428
720	0.000303	1429
730	0.000238	1430
740	0.000197	1431
750	0.000173	1432
760	0.000501	1433
770	0.000168	1434
780	9.11e-05	1435
380	0.000634	1436
390	0.000282	1437
400	0.000285	1438
410	0.00061	1439
420	0.00108	1440
430	0.0018	1441
440	0.00248	1442
450	0.00302	1443
460	0.00353	1444
470	0.00387	1445
480	0.00399	1446
490	0.00426	1447
500	0.00342	1448
510	0.00278	1449
520	0.00222	1450
530	0.0018	1451
540	0.00313	1452
550	0.00268	1453
560	0.0016	1454
570	0.00168	1455
580	0.00255	1456
590	0.00232	1457
600	0.0024	1458
610	0.0032	1459
620	0.00281	1460
630	0.00263	1461
640	0.00218	1462
650	0.00198	1463
660	0.00171	1464
670	0.00122	1465
680	0.00092	1466
690	0.000724	1467
700	0.000505	1468
710	0.000465	1469
720	0.000303	1470
730	0.000238	1471
740	0.000197	1472
750	0.000173	1473
760	0.000501	1474
770	0.000168	1475
780	9.11e-05	1476
380	0.000634	1477
390	0.000282	1478
400	0.000285	1479
410	0.00061	1480
420	0.00108	1481
430	0.0018	1482
440	0.00248	1483
450	0.00302	1484
460	0.00353	1485
