Data.Name	wavelength	value	no
A1	380	121	1
A1	390	59.91	2
A1	400	29.72	3
A1	410	14.12	4
A1	420	7.26	5
A1	430	8.67	6
A1	440	11.57	7
A1	450	16.36	8
A1	460	21.11	9
A1	470	22.5	10
A1	480	21.59	11
A1	490	20.7	12
A1	500	20.09	13
A1	510	19.68	14
A1	520	19.5	15
A1	530	19.68	16
A1	540	19.35	17
A1	550	18.47	18
A1	560	17.72	19
A1	570	17.3	20
A1	580	16.55	21
A1	590	15.7	22
A1	600	16.12	23
A1	610	19.06	24
A1	620	24.42	25
A1	630	30.4	26
A1	640	37.11	27
A1	650	44.3	28
A1	660	49.35	29
A1	670	51.55	30
A1	680	52.49	31
A1	690	53.64	32
A1	700	55.29	33
A1	710	56.87	34
A1	720	57.52	35
A1	730	57.09	36
A1	740	55.6	37
A1	750	54.61	38
A1	760	54.59	39
A1	770	55.84	40
A1	780	57.58	41
A2	380	93	42
A2	390	73	43
A2	400	4.77	44
A2	410	46.49	45
A2	420	6.05	46
A2	430	6.87	47
A2	440	8.21	48
A2	450	9.93	49
A2	460	11.29	50
A2	470	11.83	51
A2	480	11.97	52
A2	490	12.44	53
A2	500	13.19	54
A2	510	14.14	55
A2	520	15.25	56
A2	530	16.7	57
A2	540	18.92	58
A2	550	21.99	59
A2	560	26.21	60
A2	570	30.74	61
A2	580	35.63	62
A2	590	40.67	63
A2	600	45.81	64
A2	610	50.54	65
A2	620	54.12	66
A2	630	56.2	67
A2	640	56.97	68
A2	650	57.03	69
A2	660	56.74	70
A2	670	56.39	71
A2	680	56	72
A2	690	55.67	73
A2	700	55.45	74
A2	710	55.42	75
A2	720	55.36	76
A2	730	55.51	77
A2	740	55.68	78
A2	750	56.13	79
A2	760	56.59	80
A2	770	57.2	81
A2	780	57.67	82
A3	380	118	83
A3	390	66.51	84
A3	400	-24.58	85
A3	410	23.71	86
A3	420	6.58	87
A3	430	7.73	88
A3	440	9.83	89
A3	450	12.9	90
A3	460	15.7	91
A3	470	16.7	92
A3	480	16.83	93
A3	490	17.1	94
A3	500	17.58	95
A3	510	18.57	96
A3	520	20.3	97
A3	530	22.84	98
A3	540	26.87	99
A3	550	32.23	100
A3	560	38.79	101
A3	570	43.8	102
A3	580	45.86	103
A3	590	45.55	104
A3	600	44.07	105
A3	610	42.48	106
A3	620	40.02	107
A3	630	36.47	108
A3	640	32.93	109
A3	650	29.77	110
A3	660	26.93	111
A3	670	24.82	112
A3	680	23.45	113
A3	690	22.7	114
A3	700	22.53	115
A3	710	22.85	116
A3	720	23.64	117
A3	730	25.03	118
A3	740	26.69	119
A3	750	28.72	120
A3	760	30.53	121
A3	770	31.31	122
A3	780	30.72	123
A4	380	183	124
A4	390	63.85	125
A4	400	-20.78	126
A4	410	-16.56	127
A4	420	7.35	128
A4	430	8.82	129
A4	440	12.23	130
A4	450	19.5	131
A4	460	30.05	132
A4	470	37.55	133
A4	480	39.94	134
A4	490	41.77	135
A4	500	43.87	136
A4	510	46.08	137
A4	520	48.52	138
A4	530	50.2	139
A4	540	50.46	140
A4	550	50.54	141
A4	560	49.72	142
A4	570	46.83	143
A4	580	42.97	144
A4	590	40.07	145
A4	600	37.14	146
A4	610	32.47	147
A4	620	27.66	148
A4	630	24.71	149
A4	640	22.93	150
A4	650	21.14	151
A4	660	19.18	152
A4	670	17.61	153
A4	680	16.74	154
A4	690	16.2	155
A4	700	15.89	156
A4	710	15.87	157
A4	720	16.19	158
A4	730	16.52	159
A4	740	16.62	160
A4	750	16.53	161
A4	760	16.09	162
A4	770	15.6	163
A4	780	15.74	164
A5	380	195	165
A5	390	61.63	166
A5	400	-3.69	167
A5	410	-26.21	168
A5	420	7.68	169
A5	430	9.24	170
A5	440	12.96	171
A5	450	21.77	172
A5	460	36.55	173
A5	470	48.94	174
A5	480	52.25	175
A5	490	52.97	176
A5	500	53.44	177
A5	510	53.21	178
A5	520	52.16	179
A5	530	50.52	180
A5	540	48.07	181
A5	550	45.69	182
A5	560	42.75	183
A5	570	38.87	184
A5	580	34.56	185
A5	590	31.67	186
A5	600	30.23	187
A5	610	28.15	188
A5	620	24.92	189
A5	630	22.23	190
A5	640	21.41	191
A5	650	21.89	192
A5	660	22.35	193
A5	670	22.31	194
A5	680	21.96	195
A5	690	21.74	196
A5	700	22.16	197
A5	710	23.24	198
A5	720	24.43	199
A5	730	24.98	200
A5	740	24.37	201
A5	750	23.48	202
A5	760	22.23	203
A5	770	21.4	204
A5	780	21.92	205
A6	380	157	206
A6	390	59.21	207
A6	400	27.49	208
A6	410	-7.59	209
A6	420	7.62	210
A6	430	9.19	211
A6	440	12.77	212
A6	450	20.44	213
A6	460	31.35	214
A6	470	37.98	215
A6	480	38.2	216
A6	490	36.78	217
A6	500	34.9	218
A6	510	32.88	219
A6	520	31.11	220
A6	530	29.11	221
A6	540	26.85	222
A6	550	25.42	223
A6	560	24.13	224
A6	570	22.25	225
A6	580	20.42	226
A6	590	19.78	227
A6	600	19.84	228
A6	610	19.08	229
A6	620	18.32	230
A6	630	20.02	231
A6	640	26.77	232
A6	650	36.88	233
A6	660	44.65	234
A6	670	48.16	235
A6	680	49.27	236
A6	690	49.64	237
A6	700	49.69	238
A6	710	49.71	239
A6	720	49.54	240
A6	730	49.34	241
A6	740	49.15	242
A6	750	49.12	243
A6	760	48.92	244
A6	770	48.83	245
A6	780	48.67	246
B1	380	199	247
B1	390	81.65	248
B1	400	2.65	249
B1	410	1.89	250
B1	420	8.16	251
B1	430	9.77	252
B1	440	13.54	253
B1	450	22.61	254
B1	460	38.39	255
B1	470	52.33	256
B1	480	56.24	257
B1	490	56.93	258
B1	500	57.85	259
B1	510	58.47	260
B1	520	58.53	261
B1	530	58.35	262
B1	540	58.07	263
B1	550	58.02	264
B1	560	58.16	265
B1	570	58.37	266
B1	580	58.36	267
B1	590	58	268
B1	600	57.9	269
B1	610	58.21	270
B1	620	58.71	271
B1	630	59.58	272
B1	640	60.91	273
B1	650	62.22	274
B1	660	62.97	275
B1	670	63.22	276
B1	680	63.41	277
B1	690	63.85	278
B1	700	64.35	279
B1	710	65.06	280
B1	720	65.62	281
B1	730	66.11	282
B1	740	66.13	283
B1	750	66.2	284
B1	760	66.08	285
B1	770	65.5	286
B1	780	64.43	287
B2	380	197	288
B2	390	81.67	289
B2	400	-3.56	290
B2	410	3.16	291
B2	420	7.46	292
B2	430	9.04	293
B2	440	12.85	294
B2	450	21.95	295
B2	460	37.35	296
B2	470	50.36	297
B2	480	53.89	298
B2	490	54.61	299
B2	500	55.46	300
B2	510	56.45	301
B2	520	57.36	302
B2	530	58.12	303
B2	540	58.72	304
B2	550	59.57	305
B2	560	60.45	306
B2	570	60.88	307
B2	580	60.88	308
B2	590	60.68	309
B2	600	60.9	310
B2	610	61.17	311
B2	620	60.81	312
B2	630	60.25	313
B2	640	59.86	314
B2	650	59.37	315
B2	660	58.38	316
B2	670	57.22	317
B2	680	56.4	318
B2	690	55.87	319
B2	700	55.51	320
B2	710	55.72	321
B2	720	56.04	322
B2	730	56.21	323
B2	740	55.9	324
B2	750	55.44	325
B2	760	54.48	326
B2	770	53.78	327
B2	780	54.18	328
B3	380	208	329
B3	390	81.91	330
B3	400	0.53	331
B3	410	-2.27	332
B3	420	7.98	333
B3	430	9.64	334
B3	440	13.55	335
B3	450	23.17	336
B3	460	40.59	337
B3	470	57.18	338
B3	480	62.36	339
B3	490	62.87	340
B3	500	63.12	341
B3	510	63.29	342
B3	520	63.17	343
B3	530	62.9	344
B3	540	62.42	345
B3	550	62.24	346
B3	560	61.98	347
B3	570	61.6	348
B3	580	61.07	349
B3	590	60.32	350
B3	600	59.58	351
B3	610	58.82	352
B3	620	58.27	353
B3	630	58.35	354
B3	640	58.89	355
B3	650	59.4	356
B3	660	59.68	357
B3	670	59.94	358
B3	680	60.27	359
B3	690	61.03	360
B3	700	62.1	361
B3	710	63.56	362
B3	720	64.91	363
B3	730	66.14	364
B3	740	67.36	365
B3	750	68.87	366
B3	760	70.64	367
B3	770	72.86	368
B3	780	75.2	369
B4	380	65	370
B4	390	28.63	371
B4	400	3.94	372
B4	410	1.55	373
B4	420	5.12	374
B4	430	5.25	375
B4	440	5.54	376
B4	450	5.93	377
B4	460	6.21	378
B4	470	6.04	379
B4	480	5.66	380
B4	490	5.42	381
B4	500	5.26	382
B4	510	5.21	383
B4	520	5.25	384
B4	530	5.33	385
B4	540	5.36	386
B4	550	5.41	387
B4	560	5.48	388
B4	570	5.5	389
B4	580	5.49	390
B4	590	5.45	391
B4	600	5.42	392
B4	610	5.32	393
B4	620	5.18	394
B4	630	5.14	395
B4	640	5.36	396
B4	650	5.94	397
B4	660	6.74	398
B4	670	7.16	399
B4	680	7.16	400
B4	690	7.14	401
B4	700	7.32	402
B4	710	7.7	403
B4	720	8.18	404
B4	730	8.46	405
B4	740	8.42	406
B4	750	8.23	407
B4	760	7.94	408
B4	770	7.76	409
B4	780	8	410
B5	380	65	411
B5	390	29.14	412
B5	400	-3.89	413
B5	410	2.18	414
B5	420	4.6	415
B5	430	4.76	416
B5	440	5.02	417
B5	450	5.25	418
B5	460	5.36	419
B5	470	5.31	420
B5	480	5.21	421
B5	490	5.21	422
B5	500	5.25	423
B5	510	5.32	424
B5	520	5.46	425
B5	530	5.6	426
B5	540	5.65	427
B5	550	5.69	428
B5	560	5.88	429
B5	570	6.19	430
B5	580	6.44	431
B5	590	6.48	432
B5	600	6.39	433
B5	610	6.24	434
B5	620	6.07	435
B5	630	5.91	436
B5	640	5.72	437
B5	650	5.53	438
B5	660	5.33	439
B5	670	5.19	440
B5	680	5.11	441
B5	690	5.07	442
B5	700	5.05	443
B5	710	5.06	444
B5	720	5.1	445
B5	730	5.14	446
B5	740	5.2	447
B5	750	5.25	448
B5	760	5.29	449
B5	770	5.29	450
B5	780	5.27	451
B6	380	75	452
B6	390	29.12	453
B6	400	1.47	454
B6	410	-4.34	455
B6	420	5.04	456
B6	430	5.41	457
B6	440	5.99	458
B6	450	6.67	459
B6	460	7.2	460
B6	470	7.29	461
B6	480	7.15	462
B6	490	7.08	463
B6	500	7.05	464
B6	510	7.01	465
B6	520	6.93	466
B6	530	6.8	467
B6	540	6.62	468
B6	550	6.5	469
B6	560	6.34	470
B6	570	6.09	471
B6	580	5.82	472
B6	590	5.67	473
B6	600	5.64	474
B6	610	5.61	475
B6	620	5.59	476
B6	630	5.65	477
B6	640	5.73	478
B6	650	5.82	479
B6	660	5.86	480
B6	670	5.85	481
B6	680	5.86	482
B6	690	5.93	483
B6	700	6.02	484
B6	710	6.1	485
B6	720	6.11	486
B6	730	6.04	487
B6	740	5.96	488
B6	750	5.94	489
B6	760	6.02	490
B6	770	6.18	491
B6	780	6.37	492
C1	380	184	493
C1	390	83.38	494
C1	400	6.57	495
C1	410	12.81	496
C1	420	7.49	497
C1	430	9.08	498
C1	440	12.85	499
C1	450	21.52	500
C1	460	35.42	501
C1	470	46.19	502
C1	480	48.27	503
C1	490	48.25	504
C1	500	48.4	505
C1	510	48.96	506
C1	520	49.85	507
C1	530	51.12	508
C1	540	52.85	509
C1	550	54.76	510
C1	560	56.52	511
C1	570	57.86	512
C1	580	59.1	513
C1	590	60.08	514
C1	600	60.62	515
C1	610	60.44	516
C1	620	59.59	517
C1	630	60.15	518
C1	640	65.55	519
C1	650	72.2	520
C1	660	75.22	521
C1	670	76.24	522
C1	680	76.99	523
C1	690	77.81	524
C1	700	78.7	525
C1	710	79.88	526
C1	720	80.9	527
C1	730	81.82	528
C1	740	82.64	529
C1	750	83.59	530
C1	760	84.36	531
C1	770	85.16	532
C1	780	85.95	533
C2	380	135	534
C2	390	73.05	535
